metadata: deco UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: decoration,overview: description,overview: type,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: dedicatee name(s),people: dedicatee ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: other name(s),people: other ID(s),orgs: name(s),orgs: ID(s),places: name(s),places: ID(s),bibliography: bibl(s),bibliography: ref(s),bibliography: ref URI(s)
MS_Add_A_11_deco_1,manuscript_9,Add_A,MS_Add_A_11,MS. Add. A. 11,manuscript,,MS_Add_A_11,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_15_deco_1,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII","Each part has an elaborate capital letter, and several pages bear finely drawn and in various attitudes:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elaborate capital letter,https://digital.bodleian.ox.ac.uk/objects/07cc9bcc-f654-4e42-ab2a-619666905812/surfaces/7362f488-71ef-4545-9c3f-8f35e6c07856/
MS_Add_A_15_deco_2,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII ; Fine miniatures (coloured drawings)",Nine philosophers seated in a cave; above - figures of two hermits and two monks: above are the phrases 'Qui atendant' and 'viam invenient'Nine philosophers seated in a cave,miniature,fol. 1v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nine philosophers seated in a cave,https://digital.bodleian.ox.ac.uk/objects/07cc9bcc-f654-4e42-ab2a-619666905812/surfaces/849d1fc0-c653-49c3-b3fb-051668128790/
MS_Add_A_15_deco_3,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII ; Fine miniatures (coloured drawings)","Petrarch and Laura, seated between two trees by a streamPetrarch and Laura",miniature,fol. 2r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petrarch and Laura,https://digital.bodleian.ox.ac.uk/objects/07cc9bcc-f654-4e42-ab2a-619666905812/surfaces/9634b076-19c1-4746-b81c-9fc1b9f637df/
MS_Add_A_15_deco_4,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII ; Fine miniatures (coloured drawings)",Armoured king kneeling in prayerArmoured king kneeling,miniature,fol. 43r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armoured king kneeling,https://digital.bodleian.ox.ac.uk/objects/07cc9bcc-f654-4e42-ab2a-619666905812/surfaces/aa0eef70-9510-4aa3-b94f-0050c90c86de/
MS_Add_A_15_deco_5,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII ; Fine miniatures (coloured drawings)",Bearded man in long robe pointing to the text,miniature,fol. 50r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_15_deco_6,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII ; Fine miniatures (coloured drawings)",Bearded man in long robe pointing to the text,miniature,fol. 52r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_15_deco_7,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII ; Fine miniatures (coloured drawings)",Two musicians playing pipes,miniature,fol. 52v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_15_deco_8,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII ; Fine miniatures (coloured drawings)",Bearded man in long robe pointing to the text,miniature,fol. 56r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_15_deco_9,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII",Fine border,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_15_deco_10,manuscript_16,Add_A,MS_Add_A_15,MS. Add. A. 15,manuscript,,MS_Add_A_15,"Pächt and Alexander ii. 555, Pl. LII",Fine initials,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fine initials,https://digital.bodleian.ox.ac.uk/objects/07cc9bcc-f654-4e42-ab2a-619666905812/surfaces/ff48ecf2-6740-44d4-be2f-5b9c7299d4d2/ß
MS_Add_A_22_deco_1,manuscript_42,Add_A,MS_Add_A_22,MS. Add. A. 22,part,MS. Add. A. 22 – Part 2,MS_Add_A_22-part2,,"Fine minatures, some rubbed.",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_22_deco_2,manuscript_42,Add_A,MS_Add_A_22,MS. Add. A. 22,part,MS. Add. A. 22 – Part 2,MS_Add_A_22-part2,,Fine borders.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_22_deco_3,manuscript_42,Add_A,MS_Add_A_22,MS. Add. A. 22,part,MS. Add. A. 22 – Part 2,MS_Add_A_22-part2,,Fine historiated initials.,histInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_22_deco_4,manuscript_42,Add_A,MS_Add_A_22,MS. Add. A. 22,part,MS. Add. A. 22 – Part 2,MS_Add_A_22-part2,,"Fine initials. (Pächt and Alexander i. 566, pl. XLII)",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Add_A_22_deco_5,manuscript_42,Add_A,MS_Add_A_22,MS. Add. A. 22,part,MS. Add. A. 22 – Part 3,MS_Add_A_22-part3,,Good initial. (Pächt and Alexander i. 625),decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Add_A_23_deco_1,manuscript_44,Add_A,MS_Add_A_23,MS. Add. A. 23,manuscript,,MS_Add_A_23,"Pächt and Alexander ii. 929, Pl. LXXIX, fol. 19: Lucia",Miniatures (coloured drawings),miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_26_deco_1,manuscript_46,Add_A,MS_Add_A_26,MS. Add. A. 26,manuscript,,MS_Add_A_26,,Two-line initials in red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_26_deco_2,manuscript_46,Add_A,MS_Add_A_26,MS. Add. A. 26,manuscript,,MS_Add_A_26,,Rubricated headings.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_27_deco_1,manuscript_49,Add_A,MS_Add_A_27,MS. Add. A. 27,manuscript,,MS_Add_A_27,,Illuminated capital,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_30_deco_1,manuscript_57,Add_A,MS_Add_A_30,MS. Add. A. 30,part,MS. Add. A. 30 – Part 1 (fols. 1–236),MS_Add_A_30-part1,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_30_deco_2,manuscript_57,Add_A,MS_Add_A_30,MS. Add. A. 30,part,MS. Add. A. 30 – Part 1 (fols. 1–236),MS_Add_A_30-part1,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_44_deco_1,manuscript_66,Add_A,MS_Add_A_44,MS. Add. A. 44,manuscript,,MS_Add_A_44,,"Typically alternating red and blue initials, often with penwork in the contrasting colour; fols. 224r–251r, red initials with flourishing in blue, and green initials flourished in red.",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_46_deco_1,manuscript_67,Add_A,MS_Add_A_46,MS. Add. A. 46,manuscript,,MS_Add_A_46,"Pächt and Alexander i. 286, Pl. XXI",Fine miniatures,miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fine miniatures,https://digital.bodleian.ox.ac.uk/objects/5b5a488d-cf31-4bab-a347-b5ae26c01f12/surfaces/4b67e0af-6240-42cc-aead-e5967630da72/
MS_Add_A_46_deco_2,manuscript_67,Add_A,MS_Add_A_46,MS. Add. A. 46,manuscript,,MS_Add_A_46,"Pächt and Alexander i. 286, Pl. XXI",Fine initials,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_46_deco_3,manuscript_67,Add_A,MS_Add_A_46,MS. Add. A. 46,manuscript,,MS_Add_A_46,"Pächt and Alexander i. 286, Pl. XXI","Each page of fols 1-6 bears two illuminations, of the season and of the signs of the zodiac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_46_deco_4,manuscript_67,Add_A,MS_Add_A_46,MS. Add. A. 46,manuscript,,MS_Add_A_46,"Pächt and Alexander i. 286, Pl. XXI","The following saints are in red: Servatius (13 May);Remaclus (3 September); Lambert (17 September); Hubert (3 November). With the 'Triumphus Sancti Lamberti' on 13 October, this points to Liége, or that district Also in red are: Ursmar (18 April); Domitianus (7 May); Gengulf (11 May); Gallicanus (25 June); Monegundis (1 July); Fredegaud (17 July); Philibert (20 August); Theodard (10 September); the octave of Lambert (24 September); Amor (8 October); and Trudo (24 November)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_46_deco_5,manuscript_67,Add_A,MS_Add_A_46,MS. Add. A. 46,manuscript,,MS_Add_A_46,"Pächt and Alexander i. 286, Pl. XXI",The Gemini on fol. 3r bear a coat of arms: -azure a cross gules between four choughs (?) argent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Gemini on fol. 3r,https://digital.bodleian.ox.ac.uk/objects/5b5a488d-cf31-4bab-a347-b5ae26c01f12/surfaces/595ef52d-4bcf-4e55-92a0-9f1dba8cf929/
MS_Add_A_61_deco_1,manuscript_71,Add_A,MS_Add_A_61,MS. Add. A. 61,manuscript,,MS_Add_A_61,,Small plain red capitals withut filigree except (in ink) at §1 and §5,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_61_deco_2,manuscript_71,Add_A,MS_Add_A_61,MS. Add. A. 61,manuscript,,MS_Add_A_61,,Shield drawn on 53v with a different shield on the facing recto,diagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_62_deco_1,manuscript_72,Add_A,MS_Add_A_62,MS. Add. A. 62,manuscript,,MS_Add_A_62,,Coloured capitals.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_92_deco_1,manuscript_76,Add_A,MS_Add_A_92,MS. Add. A. 92,manuscript,,MS_Add_A_92,,None,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_100_deco_1,manuscript_2,Add_A,MS_Add_A_100,MS. Add. A. 100,manuscript,,MS_Add_A_100,,"Good initial (rubbed). Written with calligraphic flourishes, by Vincentius Marun at the college of St. Martial, in Avignon. (Pächt and Alexander i. 671)",decInit,,,,,,,,,,Vincentius Marun,person_1230,,,,,,,,,,,,,,,"St. Martial, in Avignon",org_116,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Add_A_107_deco_1,manuscript_6,Add_A,MS_Add_A_107,MS. Add. A. 107,manuscript,,MS_Add_A_107,,Good borders.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_107_deco_2,manuscript_6,Add_A,MS_Add_A_107,MS. Add. A. 107,manuscript,,MS_Add_A_107,,Good initials. (Pächt and Alexander iii. 586),decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Add_A_109_deco_1,manuscript_8,Add_A,MS_Add_A_109,MS. Add. A. 109,manuscript,,MS_Add_A_109,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_109_deco_2,manuscript_8,Add_A,MS_Add_A_109,MS. Add. A. 109,manuscript,,MS_Add_A_109,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_163_deco_1,manuscript_17,Add_A,MS_Add_A_163,MS. Add. A. 163,manuscript,,MS_Add_A_163,,"Penwork initials. Good penwork initials, fol. I, perhaps added 15th century. (Pächt and Alexander ii. 197)Pächt and Alexander",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Add_A_165_deco_1,manuscript_19,Add_A,MS_Add_A_165,MS. Add. A. 165,manuscript,,MS_Add_A_165,,Ink initials.,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_166_deco_1,manuscript_20,Add_A,MS_Add_A_166,MS. Add. A. 166,manuscript,,MS_Add_A_166,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_166_deco_2,manuscript_20,Add_A,MS_Add_A_166,MS. Add. A. 166,manuscript,,MS_Add_A_166,,Spaces left for initials.,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_167_deco_1,manuscript_21,Add_A,MS_Add_A_167,MS. Add. A. 167,manuscript,,MS_Add_A_167,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_167_deco_2,manuscript_21,Add_A,MS_Add_A_167,MS. Add. A. 167,manuscript,,MS_Add_A_167,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_169_deco_1,manuscript_23,Add_A,MS_Add_A_169,MS. Add. A. 169,manuscript,,MS_Add_A_169,,Coloured initial.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_169_deco_2,manuscript_23,Add_A,MS_Add_A_169,MS. Add. A. 169,manuscript,,MS_Add_A_169,,Spaces left for other initials.,unfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_170_deco_1,manuscript_25,Add_A,MS_Add_A_170,MS. Add. A. 170,manuscript,,MS_Add_A_170,Pächt and Alexander ii. 928,Floral designs,decInit,fol. 1r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_170_deco_2,manuscript_25,Add_A,MS_Add_A_170,MS. Add. A. 170,manuscript,,MS_Add_A_170,Pächt and Alexander ii. 928,"Human half-figure, emerging from flames, supporting a scroll with catchwords",drawing,fol. 16v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_171_deco_1,manuscript_26,Add_A,MS_Add_A_171,MS. Add. A. 171,manuscript,,MS_Add_A_171,,"Virtues and Vices: two human figures (one seated, wearing a crown and holding a sceptre, another standing, holding a torch (?)), and two smaller figures of demons.",drawing,fol. 49r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_171_deco_2,manuscript_26,Add_A,MS_Add_A_171,MS. Add. A. 171,manuscript,,MS_Add_A_171,,Penwork initials. (Pächt and Alexander ii. 183),flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Add_A_173_deco_1,manuscript_28,Add_A,MS_Add_A_173,MS. Add. A. 173,manuscript,,MS_Add_A_173,,Simple pen initials. (Pächt and Alexander i. 423),flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Add_A_173_deco_2,manuscript_28,Add_A,MS_Add_A_173,MS. Add. A. 173,manuscript,,MS_Add_A_173,,"Titles and some rubric in red, often entirely rubbed out, others in black (fol. 41)",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_174_deco_1,manuscript_29,Add_A,MS_Add_A_174,MS. Add. A. 174,manuscript,,MS_Add_A_174,Pächt and Alexander ii. 508,Good initials. Entries up to 1473,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_185_deco_1,manuscript_32,Add_A,MS_Add_A_185,MS. Add. A. 185,manuscript,,MS_Add_A_185,,Important miniatures.,miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_185_deco_2,manuscript_32,Add_A,MS_Add_A_185,MS. Add. A. 185,manuscript,,MS_Add_A_185,,Important borders.,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_185_deco_3,manuscript_32,Add_A,MS_Add_A_185,MS. Add. A. 185,manuscript,,MS_Add_A_185,,"Important initials. See also MSS. Rawl. liturg. f. 9 and Rawl. liturg. e. 35. (Pächt and Alexander i. 669, pl. LII)",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Add_A_187_deco_1,manuscript_33,Add_A,MS_Add_A_187,MS. Add. A. 187,manuscript,,MS_Add_A_187,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_187_deco_2,manuscript_33,Add_A,MS_Add_A_187,MS. Add. A. 187,manuscript,,MS_Add_A_187,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_188_deco_1,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,manuscript-with-fragment,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188,,"One fine large foliate initial drawn in brown ink, embellished with red (fol. 1r).",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_188_deco_2,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,manuscript-with-fragment,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188,,Two-line initials in plain red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_188_deco_3,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,fragment,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188-endleaves,"Closely related to Vienna, ÖNB, Cod. 2063 and a large group of other MSS. (Pächt and Alexander ii, no. 122)","(miniature, fol. i verso) An enthroned pope (Gregory IX?), with a prostrate bishop touching his feet; another bishop, two tonsured clerics, and two others, stand behind. To the right, a teacher seated with a book on his desk; in front of him students seated on benches at desks with open books, two tonsured. Below is a wide shallow panel with two bishops and a lawyer, flanked by two tonsured scribes writing at desks.",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_188_deco_4,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,fragment,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188-endleaves,"Closely related to Vienna, ÖNB, Cod. 2063 and a large group of other MSS. (Pächt and Alexander ii, no. 122)",(fol. 168r) Historiated initial ‘Rex pacificus’ with a half-figure of a young man with his hand to his face.,histInit,(fol. 168r),168r,168r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_188_deco_5,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,fragment,"MS. Add. A. 188 – lifted pastedowns (fols. i, 168)",MS_Add_A_188-endleaves,"Closely related to Vienna, ÖNB, Cod. 2063 and a large group of other MSS. (Pächt and Alexander ii, no. 122)","(fol. 168r, borders): The Creation of light & dark, heaven & earth, etc.?: Christ holds a gold platter-like disk with concentric circles and areas of highlight and shade, flanked by two prophets, in a landscape; below is the Creation of Animals(?): Christ holding and blessing(?) two birds held on his hand.",border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_189_deco_1,manuscript_35,Add_A,MS_Add_A_189,MS. Add. A. 189,manuscript,,MS_Add_A_189,,"Fine miniatures on a separate bifolium, fols. ii, iii. By the same hand as MS. Selden Supra 68, related to the style of Giorgio Colonna. (Pächt and Alexander ii. 1018, pl. LXXXIV)",miniature,,,,,,,,,,,,,,Giorgio Colonna,person_96635613,,,,,,,,,,,,,,,,Pächt and Alexander,https://catalog.hathitrust.org/Record/000468709
MS_Add_A_189_deco_2,manuscript_35,Add_A,MS_Add_A_189,MS. Add. A. 189,manuscript,,MS_Add_A_189,,"(fol. ii verso) miniature: St. Mark, with lion, presenting a volume to the Doge (a bearded man in red velvet edged with fur); Christ in a cloud above, with loincloth and banner, in rays of light.",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_189_deco_3,manuscript_35,Add_A,MS_Add_A_189,MS. Add. A. 189,manuscript,,MS_Add_A_189,,"(fol. iii recto) miniature: Venice as a finely dressed woman with sceptre, seated on a lion's back; two seated female figures: Justice with sword and scales, and another allegorical figure with a torch and putto.",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_196_deco_1,manuscript_36,Add_A,MS_Add_A_196,MS. Add. A. 196,manuscript-composite,,MS_Add_A_196,Pächt and Alexander iii. 1205,Borders,border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_196_deco_2,manuscript_36,Add_A,MS_Add_A_196,MS. Add. A. 196,manuscript-composite,,MS_Add_A_196,Pächt and Alexander iii. 1205,Initials,decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_197_deco_1,manuscript_37,Add_A,MS_Add_A_197,MS. Add. A. 197,manuscript,,MS_Add_A_197,,Coloured initials.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_197_deco_2,manuscript_37,Add_A,MS_Add_A_197,MS. Add. A. 197,manuscript,,MS_Add_A_197,,Rubrics.,rubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_197_deco_3,manuscript_37,Add_A,MS_Add_A_197,MS. Add. A. 197,manuscript,,MS_Add_A_197,,"Some flourished initials (fols. 8v, 13v, 21, 22v, 56v, 73, 79v, etc.)",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_228_deco_1,manuscript_43,Add_A,MS_Add_A_228,MS. Add. A. 228,manuscript,,MS_Add_A_228,Pächt and Alexander iii. 514,Fleuronnée initials,flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_263_deco_1,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,part,MS. Add. A. 263 – Part A (fols. 1–48),MS_Add_A_263-part1,,"One 4-line puzzle initial in red and blue, with red and blue penwork, accompanied by red and blue penwork border in the outer margin (fol. 1r).",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_263_deco_2,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,part,MS. Add. A. 263 – Part A (fols. 1–48),MS_Add_A_263-part1,,2-line initials in plain red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_263_deco_3,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,part,MS. Add. A. 263 – Part B (fols. 49–64),MS_Add_A_263-part2,,1- and 2-line initials in plain red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_280_deco_1,manuscript_51,Add_A,MS_Add_A_280,MS. Add. A. 280,manuscript,,MS_Add_A_280,,One 7-line initial in plain red.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
